term,week,weekly_score,category
barcelona - como,2020-08-16,98,sports
barcelona - como,2020-08-23,,sports
barcelona - como,2020-08-30,13,sports
barcelona - como,2020-09-06,,sports
barcelona - como,2020-09-13,60,sports
barcelona - como,2020-09-20,53,sports
barcelona - como,2020-09-27,100,sports
barcelona - como,2020-10-04,208,sports
barcelona - como,2020-10-11,54,sports
barcelona - como,2020-10-18,13,sports
barcelona - como,2020-10-25,,sports
barcelona - como,2020-11-01,,sports
barcelona - como,2020-11-08,53,sports
barcelona - como,2020-11-15,,sports
barcelona - como,2020-11-22,200,sports
barcelona - como,2020-11-29,,sports
barcelona - como,2020-12-06,,sports
barcelona - como,2020-12-13,,sports
barcelona - como,2020-12-20,,sports
barcelona - como,2020-12-27,72,sports
barcelona - como,2021-01-03,,sports
barcelona - como,2021-01-10,100,sports
barcelona - como,2021-01-17,,sports
barcelona - como,2021-01-24,100,sports
barcelona - como,2021-01-31,,sports
barcelona - como,2021-02-07,,sports
barcelona - como,2021-02-14,,sports
barcelona - como,2021-02-21,9,sports
barcelona - como,2021-02-28,,sports
barcelona - como,2021-03-07,100,sports
barcelona - como,2021-03-14,83,sports
barcelona - como,2021-03-21,100,sports
barcelona - como,2021-03-28,429,sports
barcelona - como,2021-04-04,,sports
barcelona - como,2021-04-11,96,sports
barcelona - como,2021-04-18,,sports
barcelona - como,2021-04-25,,sports
barcelona - como,2021-05-02,,sports
barcelona - como,2021-05-09,,sports
barcelona - como,2021-05-16,,sports
barcelona - como,2021-05-23,,sports
barcelona - como,2021-05-30,100,sports
barcelona - como,2021-06-06,,sports
barcelona - como,2021-06-13,105,sports
barcelona - como,2021-06-20,,sports
barcelona - como,2021-06-27,,sports
barcelona - como,2021-07-04,100,sports
barcelona - como,2021-07-11,100,sports
barcelona - como,2021-07-18,19,sports
barcelona - como,2021-07-25,69,sports
barcelona - como,2021-08-01,,sports
barcelona - como,2021-08-08,100,sports
barcelona - como,2021-08-15,,sports
barcelona - como,2021-08-22,,sports
barcelona - como,2021-08-29,,sports
barcelona - como,2021-09-05,100,sports
barcelona - como,2021-09-12,,sports
barcelona - como,2021-09-19,200,sports
barcelona - como,2021-09-26,111,sports
barcelona - como,2021-10-03,,sports
barcelona - como,2021-10-10,93,sports
barcelona - como,2021-10-17,100,sports
barcelona - como,2021-10-24,,sports
barcelona - como,2021-10-31,51,sports
barcelona - como,2021-11-07,100,sports
barcelona - como,2021-11-14,,sports
barcelona - como,2021-11-21,20,sports
barcelona - como,2021-11-28,6,sports
barcelona - como,2021-12-05,100,sports
barcelona - como,2021-12-12,187,sports
barcelona - como,2021-12-19,32,sports
barcelona - como,2021-12-26,97,sports
barcelona - como,2022-01-02,200,sports
barcelona - como,2022-01-09,,sports
barcelona - como,2022-01-16,,sports
barcelona - como,2022-01-23,119,sports
barcelona - como,2022-01-30,,sports
barcelona - como,2022-02-06,119,sports
barcelona - como,2022-02-13,,sports
barcelona - como,2022-02-20,75,sports
barcelona - como,2022-02-27,1,sports
barcelona - como,2022-03-06,,sports
barcelona - como,2022-03-13,106,sports
barcelona - como,2022-03-20,,sports
barcelona - como,2022-03-27,100,sports
barcelona - como,2022-04-03,,sports
barcelona - como,2022-04-10,14,sports
barcelona - como,2022-04-17,156,sports
barcelona - como,2022-04-24,100,sports
barcelona - como,2022-05-01,62,sports
barcelona - como,2022-05-08,,sports
barcelona - como,2022-05-15,,sports
barcelona - como,2022-05-22,31,sports
barcelona - como,2022-05-29,100,sports
barcelona - como,2022-06-05,,sports
barcelona - como,2022-06-12,77,sports
barcelona - como,2022-06-19,,sports
barcelona - como,2022-06-26,229,sports
barcelona - como,2022-07-03,,sports
barcelona - como,2022-07-10,,sports
barcelona - como,2022-07-17,,sports
barcelona - como,2022-07-24,,sports
barcelona - como,2022-07-31,100,sports
barcelona - como,2022-08-07,100,sports
barcelona - como,2022-08-14,,sports
barcelona - como,2022-08-21,148,sports
barcelona - como,2022-08-28,100,sports
barcelona - como,2022-09-04,,sports
barcelona - como,2022-09-11,145,sports
barcelona - como,2022-09-18,,sports
barcelona - como,2022-09-25,,sports
barcelona - como,2022-10-02,96,sports
barcelona - como,2022-10-09,114,sports
barcelona - como,2022-10-16,,sports
barcelona - como,2022-10-23,37,sports
barcelona - como,2022-10-30,176,sports
barcelona - como,2022-11-06,100,sports
barcelona - como,2022-11-13,,sports
barcelona - como,2022-11-20,75,sports
barcelona - como,2022-11-27,,sports
barcelona - como,2022-12-04,83,sports
barcelona - como,2022-12-11,,sports
barcelona - como,2022-12-18,195,sports
barcelona - como,2022-12-25,100,sports
barcelona - como,2023-01-01,87,sports
barcelona - como,2023-01-08,141,sports
barcelona - como,2023-01-15,100,sports
barcelona - como,2023-01-22,117,sports
barcelona - como,2023-01-29,,sports
barcelona - como,2023-02-05,60,sports
barcelona - como,2023-02-12,,sports
barcelona - como,2023-02-19,,sports
barcelona - como,2023-02-26,9,sports
barcelona - como,2023-03-05,,sports
barcelona - como,2023-03-12,42,sports
barcelona - como,2023-03-19,,sports
barcelona - como,2023-03-26,65,sports
barcelona - como,2023-04-02,200,sports
barcelona - como,2023-04-09,,sports
barcelona - como,2023-04-16,177,sports
barcelona - como,2023-04-23,100,sports
barcelona - como,2023-04-30,,sports
barcelona - como,2023-05-07,107,sports
barcelona - como,2023-05-14,268,sports
barcelona - como,2023-05-21,,sports
barcelona - como,2023-05-28,49,sports
barcelona - como,2023-06-04,,sports
barcelona - como,2023-06-11,,sports
barcelona - como,2023-06-18,46,sports
barcelona - como,2023-06-25,37,sports
barcelona - como,2023-07-02,,sports
barcelona - como,2023-07-09,,sports
barcelona - como,2023-07-16,,sports
barcelona - como,2023-07-23,65,sports
barcelona - como,2023-07-30,,sports
barcelona - como,2023-08-06,100,sports
barcelona - como,2023-08-13,23,sports
barcelona - como,2023-08-20,120,sports
barcelona - como,2023-08-27,,sports
barcelona - como,2023-09-03,100,sports
barcelona - como,2023-09-10,71,sports
barcelona - como,2023-09-17,,sports
barcelona - como,2023-09-24,,sports
barcelona - como,2023-10-01,,sports
barcelona - como,2023-10-08,100,sports
barcelona - como,2023-10-15,,sports
barcelona - como,2023-10-22,128,sports
barcelona - como,2023-10-29,100,sports
barcelona - como,2023-11-05,,sports
barcelona - como,2023-11-12,74,sports
barcelona - como,2023-11-19,99,sports
barcelona - como,2023-11-26,95,sports
barcelona - como,2023-12-03,12,sports
barcelona - como,2023-12-10,58,sports
barcelona - como,2023-12-17,,sports
barcelona - como,2023-12-24,,sports
barcelona - como,2023-12-31,,sports
barcelona - como,2024-01-07,2,sports
barcelona - como,2024-01-14,82,sports
barcelona - como,2024-01-21,100,sports
barcelona - como,2024-01-28,100,sports
barcelona - como,2024-02-04,,sports
barcelona - como,2024-02-11,116,sports
barcelona - como,2024-02-18,,sports
barcelona - como,2024-02-25,100,sports
barcelona - como,2024-03-03,,sports
barcelona - como,2024-03-10,,sports
barcelona - como,2024-03-17,,sports
barcelona - como,2024-03-24,200,sports
barcelona - como,2024-03-31,100,sports
barcelona - como,2024-04-07,194,sports
barcelona - como,2024-04-14,15,sports
barcelona - como,2024-04-21,,sports
barcelona - como,2024-04-28,,sports
barcelona - como,2024-05-05,,sports
barcelona - como,2024-05-12,,sports
barcelona - como,2024-05-19,175,sports
barcelona - como,2024-05-26,191,sports
barcelona - como,2024-06-02,,sports
barcelona - como,2024-06-09,,sports
barcelona - como,2024-06-16,1,sports
barcelona - como,2024-06-23,174,sports
barcelona - como,2024-06-30,100,sports
barcelona - como,2024-07-07,100,sports
barcelona - como,2024-07-14,,sports
barcelona - como,2024-07-21,,sports
barcelona - como,2024-07-28,,sports
barcelona - como,2024-08-04,,sports
barcelona - como,2024-08-11,78,sports
barcelona - como,2024-08-18,28,sports
barcelona - como,2024-08-25,84,sports
barcelona - como,2024-09-01,97,sports
barcelona - como,2024-09-08,177,sports
barcelona - como,2024-09-15,,sports
barcelona - como,2024-09-22,,sports
barcelona - como,2024-09-29,6,sports
barcelona - como,2024-10-06,68,sports
barcelona - como,2024-10-13,,sports
barcelona - como,2024-10-20,,sports
barcelona - como,2024-10-27,,sports
barcelona - como,2024-11-03,,sports
barcelona - como,2024-11-10,,sports
barcelona - como,2024-11-17,,sports
barcelona - como,2024-11-24,52,sports
barcelona - como,2024-12-01,,sports
barcelona - como,2024-12-08,23,sports
barcelona - como,2024-12-15,116,sports
barcelona - como,2024-12-22,,sports
barcelona - como,2024-12-29,32,sports
barcelona - como,2025-01-05,,sports
barcelona - como,2025-01-12,100,sports
barcelona - como,2025-01-19,208,sports
barcelona - como,2025-01-26,,sports
barcelona - como,2025-02-02,,sports
barcelona - como,2025-02-09,,sports
barcelona - como,2025-02-16,,sports
barcelona - como,2025-02-23,72,sports
barcelona - como,2025-03-02,100,sports
barcelona - como,2025-03-09,74,sports
barcelona - como,2025-03-16,,sports
barcelona - como,2025-03-23,,sports
barcelona - como,2025-03-30,,sports
barcelona - como,2025-04-06,100,sports
barcelona - como,2025-04-13,240,sports
barcelona - como,2025-04-20,,sports
barcelona - como,2025-04-27,27,sports
barcelona - como,2025-05-04,99,sports
barcelona - como,2025-05-11,,sports
barcelona - como,2025-05-18,8,sports
barcelona - como,2025-05-25,100,sports
barcelona - como,2025-06-01,,sports
barcelona - como,2025-06-08,87,sports
barcelona - como,2025-06-15,47,sports
barcelona - como,2025-06-22,,sports
barcelona - como,2025-06-29,22,sports
barcelona - como,2025-07-06,,sports
barcelona - como,2025-07-13,,sports
barcelona - como,2025-07-20,348,sports
barcelona - como,2025-07-27,5,sports
barcelona - como,2025-08-03,2,sports
barcelona - como,2025-08-10,11162,sports
barcelona vs como,2020-08-16,,sports
barcelona vs como,2020-08-23,48,sports
barcelona vs como,2020-08-30,,sports
barcelona vs como,2020-09-06,101,sports
barcelona vs como,2020-09-13,152,sports
barcelona vs como,2020-09-20,75,sports
barcelona vs como,2020-09-27,100,sports
barcelona vs como,2020-10-04,2,sports
barcelona vs como,2020-10-11,100,sports
barcelona vs como,2020-10-18,,sports
barcelona vs como,2020-10-25,,sports
barcelona vs como,2020-11-01,,sports
barcelona vs como,2020-11-08,,sports
barcelona vs como,2020-11-15,,sports
barcelona vs como,2020-11-22,86,sports
barcelona vs como,2020-11-29,,sports
barcelona vs como,2020-12-06,,sports
barcelona vs como,2020-12-13,,sports
barcelona vs como,2020-12-20,33,sports
barcelona vs como,2020-12-27,,sports
barcelona vs como,2021-01-03,,sports
barcelona vs como,2021-01-10,16,sports
barcelona vs como,2021-01-17,42,sports
barcelona vs como,2021-01-24,100,sports
barcelona vs como,2021-01-31,146,sports
barcelona vs como,2021-02-07,241,sports
barcelona vs como,2021-02-14,58,sports
barcelona vs como,2021-02-21,57,sports
barcelona vs como,2021-02-28,78,sports
barcelona vs como,2021-03-07,100,sports
barcelona vs como,2021-03-14,45,sports
barcelona vs como,2021-03-21,111,sports
barcelona vs como,2021-03-28,,sports
barcelona vs como,2021-04-04,,sports
barcelona vs como,2021-04-11,100,sports
barcelona vs como,2021-04-18,86,sports
barcelona vs como,2021-04-25,79,sports
barcelona vs como,2021-05-02,,sports
barcelona vs como,2021-05-09,,sports
barcelona vs como,2021-05-16,43,sports
barcelona vs como,2021-05-23,,sports
barcelona vs como,2021-05-30,104,sports
barcelona vs como,2021-06-06,,sports
barcelona vs como,2021-06-13,100,sports
barcelona vs como,2021-06-20,200,sports
barcelona vs como,2021-06-27,,sports
barcelona vs como,2021-07-04,,sports
barcelona vs como,2021-07-11,51,sports
barcelona vs como,2021-07-18,,sports
barcelona vs como,2021-07-25,93,sports
barcelona vs como,2021-08-01,17,sports
barcelona vs como,2021-08-08,100,sports
barcelona vs como,2021-08-15,142,sports
barcelona vs como,2021-08-22,67,sports
barcelona vs como,2021-08-29,3,sports
barcelona vs como,2021-09-05,,sports
barcelona vs como,2021-09-12,136,sports
barcelona vs como,2021-09-19,,sports
barcelona vs como,2021-09-26,,sports
barcelona vs como,2021-10-03,,sports
barcelona vs como,2021-10-10,100,sports
barcelona vs como,2021-10-17,166,sports
barcelona vs como,2021-10-24,88,sports
barcelona vs como,2021-10-31,100,sports
barcelona vs como,2021-11-07,,sports
barcelona vs como,2021-11-14,,sports
barcelona vs como,2021-11-21,168,sports
barcelona vs como,2021-11-28,100,sports
barcelona vs como,2021-12-05,,sports
barcelona vs como,2021-12-12,,sports
barcelona vs como,2021-12-19,96,sports
barcelona vs como,2021-12-26,,sports
barcelona vs como,2022-01-02,,sports
barcelona vs como,2022-01-09,,sports
barcelona vs como,2022-01-16,86,sports
barcelona vs como,2022-01-23,90,sports
barcelona vs como,2022-01-30,,sports
barcelona vs como,2022-02-06,,sports
barcelona vs como,2022-02-13,,sports
barcelona vs como,2022-02-20,52,sports
barcelona vs como,2022-02-27,124,sports
barcelona vs como,2022-03-06,,sports
barcelona vs como,2022-03-13,,sports
barcelona vs como,2022-03-20,45,sports
barcelona vs como,2022-03-27,100,sports
barcelona vs como,2022-04-03,100,sports
barcelona vs como,2022-04-10,,sports
barcelona vs como,2022-04-17,,sports
barcelona vs como,2022-04-24,152,sports
barcelona vs como,2022-05-01,100,sports
barcelona vs como,2022-05-08,,sports
barcelona vs como,2022-05-15,,sports
barcelona vs como,2022-05-22,107,sports
barcelona vs como,2022-05-29,83,sports
barcelona vs como,2022-06-05,,sports
barcelona vs como,2022-06-12,148,sports
barcelona vs como,2022-06-19,,sports
barcelona vs como,2022-06-26,143,sports
barcelona vs como,2022-07-03,100,sports
barcelona vs como,2022-07-10,,sports
barcelona vs como,2022-07-17,,sports
barcelona vs como,2022-07-24,,sports
barcelona vs como,2022-07-31,32,sports
barcelona vs como,2022-08-07,,sports
barcelona vs como,2022-08-14,,sports
barcelona vs como,2022-08-21,100,sports
barcelona vs como,2022-08-28,,sports
barcelona vs como,2022-09-04,117,sports
barcelona vs como,2022-09-11,98,sports
barcelona vs como,2022-09-18,,sports
barcelona vs como,2022-09-25,,sports
barcelona vs como,2022-10-02,100,sports
barcelona vs como,2022-10-09,,sports
barcelona vs como,2022-10-16,,sports
barcelona vs como,2022-10-23,43,sports
barcelona vs como,2022-10-30,,sports
barcelona vs como,2022-11-06,100,sports
barcelona vs como,2022-11-13,,sports
barcelona vs como,2022-11-20,50,sports
barcelona vs como,2022-11-27,,sports
barcelona vs como,2022-12-04,100,sports
barcelona vs como,2022-12-11,,sports
barcelona vs como,2022-12-18,,sports
barcelona vs como,2022-12-25,79,sports
barcelona vs como,2023-01-01,200,sports
barcelona vs como,2023-01-08,78,sports
barcelona vs como,2023-01-15,,sports
barcelona vs como,2023-01-22,,sports
barcelona vs como,2023-01-29,200,sports
barcelona vs como,2023-02-05,,sports
barcelona vs como,2023-02-12,100,sports
barcelona vs como,2023-02-19,,sports
barcelona vs como,2023-02-26,,sports
barcelona vs como,2023-03-05,27,sports
barcelona vs como,2023-03-12,52,sports
barcelona vs como,2023-03-19,85,sports
barcelona vs como,2023-03-26,,sports
barcelona vs como,2023-04-02,164,sports
barcelona vs como,2023-04-09,176,sports
barcelona vs como,2023-04-16,58,sports
barcelona vs como,2023-04-23,50,sports
barcelona vs como,2023-04-30,,sports
barcelona vs como,2023-05-07,77,sports
barcelona vs como,2023-05-14,,sports
barcelona vs como,2023-05-21,,sports
barcelona vs como,2023-05-28,50,sports
barcelona vs como,2023-06-04,64,sports
barcelona vs como,2023-06-11,,sports
barcelona vs como,2023-06-18,100,sports
barcelona vs como,2023-06-25,,sports
barcelona vs como,2023-07-02,146,sports
barcelona vs como,2023-07-09,119,sports
barcelona vs como,2023-07-16,,sports
barcelona vs como,2023-07-23,,sports
barcelona vs como,2023-07-30,,sports
barcelona vs como,2023-08-06,,sports
barcelona vs como,2023-08-13,,sports
barcelona vs como,2023-08-20,,sports
barcelona vs como,2023-08-27,,sports
barcelona vs como,2023-09-03,152,sports
barcelona vs como,2023-09-10,,sports
barcelona vs como,2023-09-17,,sports
barcelona vs como,2023-09-24,,sports
barcelona vs como,2023-10-01,9,sports
barcelona vs como,2023-10-08,183,sports
barcelona vs como,2023-10-15,,sports
barcelona vs como,2023-10-22,,sports
barcelona vs como,2023-10-29,100,sports
barcelona vs como,2023-11-05,23,sports
barcelona vs como,2023-11-12,,sports
barcelona vs como,2023-11-19,,sports
barcelona vs como,2023-11-26,129,sports
barcelona vs como,2023-12-03,158,sports
barcelona vs como,2023-12-10,,sports
barcelona vs como,2023-12-17,,sports
barcelona vs como,2023-12-24,,sports
barcelona vs como,2023-12-31,,sports
barcelona vs como,2024-01-07,31,sports
barcelona vs como,2024-01-14,,sports
barcelona vs como,2024-01-21,,sports
barcelona vs como,2024-01-28,63,sports
barcelona vs como,2024-02-04,105,sports
barcelona vs como,2024-02-11,116,sports
barcelona vs como,2024-02-18,,sports
barcelona vs como,2024-02-25,102,sports
barcelona vs como,2024-03-03,33,sports
barcelona vs como,2024-03-10,68,sports
barcelona vs como,2024-03-17,,sports
barcelona vs como,2024-03-24,51,sports
barcelona vs como,2024-03-31,100,sports
barcelona vs como,2024-04-07,59,sports
barcelona vs como,2024-04-14,,sports
barcelona vs como,2024-04-21,100,sports
barcelona vs como,2024-04-28,96,sports
barcelona vs como,2024-05-05,,sports
barcelona vs como,2024-05-12,203,sports
barcelona vs como,2024-05-19,39,sports
barcelona vs como,2024-05-26,78,sports
barcelona vs como,2024-06-02,51,sports
barcelona vs como,2024-06-09,,sports
barcelona vs como,2024-06-16,82,sports
barcelona vs como,2024-06-23,,sports
barcelona vs como,2024-06-30,134,sports
barcelona vs como,2024-07-07,100,sports
barcelona vs como,2024-07-14,46,sports
barcelona vs como,2024-07-21,124,sports
barcelona vs como,2024-07-28,,sports
barcelona vs como,2024-08-04,,sports
barcelona vs como,2024-08-11,,sports
barcelona vs como,2024-08-18,16,sports
barcelona vs como,2024-08-25,52,sports
barcelona vs como,2024-09-01,200,sports
barcelona vs como,2024-09-08,95,sports
barcelona vs como,2024-09-15,,sports
barcelona vs como,2024-09-22,100,sports
barcelona vs como,2024-09-29,,sports
barcelona vs como,2024-10-06,,sports
barcelona vs como,2024-10-13,,sports
barcelona vs como,2024-10-20,100,sports
barcelona vs como,2024-10-27,129,sports
barcelona vs como,2024-11-03,,sports
barcelona vs como,2024-11-10,92,sports
barcelona vs como,2024-11-17,,sports
barcelona vs como,2024-11-24,87,sports
barcelona vs como,2024-12-01,79,sports
barcelona vs como,2024-12-08,121,sports
barcelona vs como,2024-12-15,,sports
barcelona vs como,2024-12-22,202,sports
barcelona vs como,2024-12-29,31,sports
barcelona vs como,2025-01-05,87,sports
barcelona vs como,2025-01-12,74,sports
barcelona vs como,2025-01-19,,sports
barcelona vs como,2025-01-26,,sports
barcelona vs como,2025-02-02,,sports
barcelona vs como,2025-02-09,,sports
barcelona vs como,2025-02-16,,sports
barcelona vs como,2025-02-23,94,sports
barcelona vs como,2025-03-02,,sports
barcelona vs como,2025-03-09,60,sports
barcelona vs como,2025-03-16,,sports
barcelona vs como,2025-03-23,,sports
barcelona vs como,2025-03-30,,sports
barcelona vs como,2025-04-06,,sports
barcelona vs como,2025-04-13,186,sports
barcelona vs como,2025-04-20,,sports
barcelona vs como,2025-04-27,13,sports
barcelona vs como,2025-05-04,,sports
barcelona vs como,2025-05-11,110,sports
barcelona vs como,2025-05-18,155,sports
barcelona vs como,2025-05-25,156,sports
barcelona vs como,2025-06-01,,sports
barcelona vs como,2025-06-08,,sports
barcelona vs como,2025-06-15,,sports
barcelona vs como,2025-06-22,,sports
barcelona vs como,2025-06-29,177,sports
barcelona vs como,2025-07-06,,sports
barcelona vs como,2025-07-13,,sports
barcelona vs como,2025-07-20,73,sports
barcelona vs como,2025-07-27,100,sports
barcelona vs como,2025-08-03,114,sports
barcelona vs como,2025-08-10,13072,sports
chelsea - psg,2020-08-16,74,sports
chelsea - psg,2020-08-23,,sports
chelsea - psg,2020-08-30,,sports
chelsea - psg,2020-09-06,,sports
chelsea - psg,2020-09-13,,sports
chelsea - psg,2020-09-20,52,sports
chelsea - psg,2020-09-27,,sports
chelsea - psg,2020-10-04,,sports
chelsea - psg,2020-10-11,,sports
chelsea - psg,2020-10-18,81,sports
chelsea - psg,2020-10-25,,sports
chelsea - psg,2020-11-01,103,sports
chelsea - psg,2020-11-08,8,sports
chelsea - psg,2020-11-15,,sports
chelsea - psg,2020-11-22,100,sports
chelsea - psg,2020-11-29,16,sports
chelsea - psg,2020-12-06,100,sports
chelsea - psg,2020-12-13,26,sports
chelsea - psg,2020-12-20,,sports
chelsea - psg,2020-12-27,,sports
chelsea - psg,2021-01-03,19,sports
chelsea - psg,2021-01-10,108,sports
chelsea - psg,2021-01-17,,sports
chelsea - psg,2021-01-24,46,sports
chelsea - psg,2021-01-31,,sports
chelsea - psg,2021-02-07,100,sports
chelsea - psg,2021-02-14,156,sports
chelsea - psg,2021-02-21,46,sports
chelsea - psg,2021-02-28,,sports
chelsea - psg,2021-03-07,,sports
chelsea - psg,2021-03-14,,sports
chelsea - psg,2021-03-21,,sports
chelsea - psg,2021-03-28,96,sports
chelsea - psg,2021-04-04,98,sports
chelsea - psg,2021-04-11,53,sports
chelsea - psg,2021-04-18,49,sports
chelsea - psg,2021-04-25,,sports
chelsea - psg,2021-05-02,68,sports
chelsea - psg,2021-05-09,,sports
chelsea - psg,2021-05-16,,sports
chelsea - psg,2021-05-23,,sports
chelsea - psg,2021-05-30,56,sports
chelsea - psg,2021-06-06,,sports
chelsea - psg,2021-06-13,9,sports
chelsea - psg,2021-06-20,100,sports
chelsea - psg,2021-06-27,,sports
chelsea - psg,2021-07-04,,sports
chelsea - psg,2021-07-11,,sports
chelsea - psg,2021-07-18,,sports
chelsea - psg,2021-07-25,,sports
chelsea - psg,2021-08-01,101,sports
chelsea - psg,2021-08-08,43,sports
chelsea - psg,2021-08-15,7,sports
chelsea - psg,2021-08-22,77,sports
chelsea - psg,2021-08-29,,sports
chelsea - psg,2021-09-05,80,sports
chelsea - psg,2021-09-12,45,sports
chelsea - psg,2021-09-19,,sports
chelsea - psg,2021-09-26,10,sports
chelsea - psg,2021-10-03,249,sports
chelsea - psg,2021-10-10,4,sports
chelsea - psg,2021-10-17,20,sports
chelsea - psg,2021-10-24,95,sports
chelsea - psg,2021-10-31,61,sports
chelsea - psg,2021-11-07,138,sports
chelsea - psg,2021-11-14,16,sports
chelsea - psg,2021-11-21,97,sports
chelsea - psg,2021-11-28,127,sports
chelsea - psg,2021-12-05,31,sports
chelsea - psg,2021-12-12,63,sports
chelsea - psg,2021-12-19,,sports
chelsea - psg,2021-12-26,,sports
chelsea - psg,2022-01-02,100,sports
chelsea - psg,2022-01-09,,sports
chelsea - psg,2022-01-16,127,sports
chelsea - psg,2022-01-23,83,sports
chelsea - psg,2022-01-30,,sports
chelsea - psg,2022-02-06,2,sports
chelsea - psg,2022-02-13,,sports
chelsea - psg,2022-02-20,,sports
chelsea - psg,2022-02-27,41,sports
chelsea - psg,2022-03-06,5,sports
chelsea - psg,2022-03-13,13,sports
chelsea - psg,2022-03-20,64,sports
chelsea - psg,2022-03-27,256,sports
chelsea - psg,2022-04-03,,sports
chelsea - psg,2022-04-10,100,sports
chelsea - psg,2022-04-17,100,sports
chelsea - psg,2022-04-24,,sports
chelsea - psg,2022-05-01,2,sports
chelsea - psg,2022-05-08,,sports
chelsea - psg,2022-05-15,25,sports
chelsea - psg,2022-05-22,,sports
chelsea - psg,2022-05-29,,sports
chelsea - psg,2022-06-05,,sports
chelsea - psg,2022-06-12,143,sports
chelsea - psg,2022-06-19,,sports
chelsea - psg,2022-06-26,3,sports
chelsea - psg,2022-07-03,100,sports
chelsea - psg,2022-07-10,85,sports
chelsea - psg,2022-07-17,159,sports
chelsea - psg,2022-07-24,,sports
chelsea - psg,2022-07-31,,sports
chelsea - psg,2022-08-07,54,sports
chelsea - psg,2022-08-14,3,sports
chelsea - psg,2022-08-21,,sports
chelsea - psg,2022-08-28,100,sports
chelsea - psg,2022-09-04,63,sports
chelsea - psg,2022-09-11,,sports
chelsea - psg,2022-09-18,5,sports
chelsea - psg,2022-09-25,30,sports
chelsea - psg,2022-10-02,,sports
chelsea - psg,2022-10-09,6,sports
chelsea - psg,2022-10-16,,sports
chelsea - psg,2022-10-23,54,sports
chelsea - psg,2022-10-30,,sports
chelsea - psg,2022-11-06,73,sports
chelsea - psg,2022-11-13,,sports
chelsea - psg,2022-11-20,5,sports
chelsea - psg,2022-11-27,27,sports
chelsea - psg,2022-12-04,73,sports
chelsea - psg,2022-12-11,,sports
chelsea - psg,2022-12-18,,sports
chelsea - psg,2022-12-25,100,sports
chelsea - psg,2023-01-01,13,sports
chelsea - psg,2023-01-08,,sports
chelsea - psg,2023-01-15,88,sports
chelsea - psg,2023-01-22,,sports
chelsea - psg,2023-01-29,12,sports
chelsea - psg,2023-02-05,21,sports
chelsea - psg,2023-02-12,85,sports
chelsea - psg,2023-02-19,,sports
chelsea - psg,2023-02-26,45,sports
chelsea - psg,2023-03-05,19,sports
chelsea - psg,2023-03-12,2,sports
chelsea - psg,2023-03-19,100,sports
chelsea - psg,2023-03-26,83,sports
chelsea - psg,2023-04-02,10,sports
chelsea - psg,2023-04-09,,sports
chelsea - psg,2023-04-16,,sports
chelsea - psg,2023-04-23,,sports
chelsea - psg,2023-04-30,35,sports
chelsea - psg,2023-05-07,105,sports
chelsea - psg,2023-05-14,47,sports
chelsea - psg,2023-05-21,64,sports
chelsea - psg,2023-05-28,,sports
chelsea - psg,2023-06-04,4,sports
chelsea - psg,2023-06-11,9,sports
chelsea - psg,2023-06-18,,sports
chelsea - psg,2023-06-25,94,sports
chelsea - psg,2023-07-02,134,sports
chelsea - psg,2023-07-09,27,sports
chelsea - psg,2023-07-16,,sports
chelsea - psg,2023-07-23,,sports
chelsea - psg,2023-07-30,,sports
chelsea - psg,2023-08-06,,sports
chelsea - psg,2023-08-13,5,sports
chelsea - psg,2023-08-20,60,sports
chelsea - psg,2023-08-27,,sports
chelsea - psg,2023-09-03,,sports
chelsea - psg,2023-09-10,117,sports
chelsea - psg,2023-09-17,,sports
chelsea - psg,2023-09-24,,sports
chelsea - psg,2023-10-01,7,sports
chelsea - psg,2023-10-08,45,sports
chelsea - psg,2023-10-15,47,sports
chelsea - psg,2023-10-22,,sports
chelsea - psg,2023-10-29,3,sports
chelsea - psg,2023-11-05,15,sports
chelsea - psg,2023-11-12,17,sports
chelsea - psg,2023-11-19,,sports
chelsea - psg,2023-11-26,43,sports
chelsea - psg,2023-12-03,,sports
chelsea - psg,2023-12-10,,sports
chelsea - psg,2023-12-17,,sports
chelsea - psg,2023-12-24,,sports
chelsea - psg,2023-12-31,,sports
chelsea - psg,2024-01-07,,sports
chelsea - psg,2024-01-14,171,sports
chelsea - psg,2024-01-21,83,sports
chelsea - psg,2024-01-28,,sports
chelsea - psg,2024-02-04,,sports
chelsea - psg,2024-02-11,82,sports
chelsea - psg,2024-02-18,100,sports
chelsea - psg,2024-02-25,,sports
chelsea - psg,2024-03-03,,sports
chelsea - psg,2024-03-10,,sports
chelsea - psg,2024-03-17,182,sports
chelsea - psg,2024-03-24,,sports
chelsea - psg,2024-03-31,15,sports
chelsea - psg,2024-04-07,88,sports
chelsea - psg,2024-04-14,,sports
chelsea - psg,2024-04-21,,sports
chelsea - psg,2024-04-28,,sports
chelsea - psg,2024-05-05,6,sports
chelsea - psg,2024-05-12,,sports
chelsea - psg,2024-05-19,9,sports
chelsea - psg,2024-05-26,100,sports
chelsea - psg,2024-06-02,,sports
chelsea - psg,2024-06-09,,sports
chelsea - psg,2024-06-16,128,sports
chelsea - psg,2024-06-23,,sports
chelsea - psg,2024-06-30,50,sports
chelsea - psg,2024-07-07,132,sports
chelsea - psg,2024-07-14,,sports
chelsea - psg,2024-07-21,,sports
chelsea - psg,2024-07-28,,sports
